accountNumber,amount,clientId,movementTypeId,balance
95266,4733,2,2,111
67682,4256,1,1,7695
71628,9152,2,3,982
62725,6001,2,1,7120
71634,6091,2,1,9022
68237,9310,2,1,6552
29132,947,1,3,9254
96460,2878,1,1,4569
23079,433,1,3,4691
34307,2284,2,3,2203
12431,5390,1,3,7473
61294,1669,1,3,9694
22908,4239,1,2,6549
93348,3331,2,1,6698
25261,7133,2,3,509
23724,3369,1,2,5216
14233,6267,2,1,2835
86230,3991,1,1,4812
11216,1413,1,3,7935
68913,5999,1,2,6641
37716,8462,2,1,7448
68771,6902,2,2,992
50679,6072,2,2,674
23109,8073,1,2,8372
71991,8175,2,3,9586
80311,7009,2,1,4180
65633,5872,2,1,4330
82072,8998,2,3,2262
77627,7515,2,2,7389
55043,7183,2,3,289
52985,9595,2,3,6106
61898,1520,1,2,6003
43008,2795,2,2,2677
57652,2378,2,2,4007
80079,2156,1,3,4704
15790,7148,2,2,4270
13341,7524,1,2,2304
39798,3379,1,1,8156
35099,3411,2,2,7114
15452,8950,1,2,3674
79388,3275,2,1,6147
19037,1431,2,3,7989
77401,5810,1,1,495
81814,8081,1,3,7076
12154,4107,1,1,3732
21144,3485,2,2,4690
50145,2004,2,3,5514
69255,7619,1,3,230
63726,385,1,3,5762
65021,5800,1,1,7630
11720,6441,1,1,3567
32098,4876,2,3,3782
91519,3727,1,2,7424
96624,5565,1,3,8516
33437,3354,2,3,7089
27087,2093,1,3,2073
16138,82,2,2,4331
22853,7912,2,1,5469
58267,3573,1,1,2675
52035,3780,2,1,2504
53609,2092,2,2,473
68401,9365,1,2,725
51792,6231,2,3,1241
36210,2941,2,3,9317
18867,5328,1,2,7999
72483,7801,1,2,1784
68747,3248,1,3,3466
87556,7746,2,3,1296
42075,4839,2,1,3340
66272,5064,2,1,7985
59827,2390,1,1,1330
33813,5280,2,2,397
80914,8582,1,2,4463
53106,5539,2,1,827
42690,5776,2,2,1584
83459,8811,1,2,5145
55259,9884,1,2,8311
39329,9794,1,3,1687
46654,7823,2,3,5083
69137,9091,1,2,1483
25982,3938,2,2,3297
36786,4716,2,2,4979
86776,3429,1,2,6766
62064,5085,2,3,8316
68970,1112,2,1,1024
52132,9764,1,3,3446
74768,5410,1,3,5628
13274,1844,2,2,966
89114,2618,2,2,2656
40516,3054,1,1,7014
74996,8885,2,3,7753
11657,8389,1,3,4358
17579,111,1,2,6901
98264,9051,2,2,6732
53615,4918,1,2,6950
75868,9217,2,1,4703
56068,1082,1,1,6881
25764,7045,2,3,4972
51796,5032,1,1,7411
33013,5691,2,2,3862
12950,8304,2,1,5197
21533,3060,1,3,6016
94526,7716,2,1,4306
95429,4159,1,1,7564
24329,5706,2,3,5334
69329,175,1,3,4028
76931,8317,2,2,4502
67538,6881,2,1,3166
25809,9723,1,2,6204
30812,1938,1,3,1026
51556,3134,1,1,1002
84074,9783,2,2,363
74063,8644,2,2,2608
95220,3851,2,2,707
90653,6378,2,3,7433
87579,7432,2,2,5142
58605,8408,1,1,9198
63359,1410,1,3,5973
36440,5183,1,2,9259
63349,6213,2,2,7220
28664,8789,2,1,5462
97940,1117,2,2,1441
48975,1141,2,3,5106
76668,4379,1,2,4577
40337,4834,1,2,3645
59936,6992,2,3,5588
61939,9292,1,1,578
56920,1886,1,3,2557
53349,6638,1,3,7952
55111,1510,2,1,1816
81220,3106,2,1,7840
17915,6876,1,3,483
32936,1336,2,1,5965
38296,8510,2,1,7615
22281,7334,2,1,4950
16772,5428,2,3,1045
60963,3085,2,2,4280
90261,5367,1,1,1598
47856,6178,2,1,3090
26922,497,2,1,9466
91808,2273,1,1,2102
34131,7128,1,3,9745
66751,8444,1,3,6424
67550,4953,1,3,19
52976,3595,1,1,782
43614,9483,2,3,6649
62674,1644,1,3,917
35602,6822,2,1,6429
14439,9907,2,3,1966
94809,9954,1,1,8510
97587,9674,2,2,6500
52185,8303,1,1,3040
42364,9966,1,1,4185
13131,2619,1,2,3163
49368,2573,1,2,1865
75922,9005,2,2,3522
42245,4603,1,1,5917
81729,194,1,1,9311
86289,9514,1,3,5987
94361,2005,1,1,7078
45463,1020,1,3,2061
43948,9635,2,1,852
38965,736,1,3,4555
97637,2491,1,1,1209
62248,5142,1,3,4459
65589,6259,1,2,9553
81166,3645,2,1,2231
56315,3491,1,2,3627
33886,5938,1,1,6167
18294,3931,2,3,928
38168,476,2,2,6759
99098,4782,1,3,2774
45332,150,1,3,3625
48966,1734,1,2,8529
47302,2684,1,3,2553
49238,7258,2,3,4018
83158,8657,2,3,5701
25334,8820,2,2,508
27764,2401,2,2,7262
13157,3928,1,1,7405
74131,3798,1,2,9407
42138,4228,2,3,6147
42604,4201,1,2,2591
42911,5961,2,3,1359
98530,8158,1,1,4378
31545,4762,1,1,5717
62273,6250,1,3,8362
59709,13,1,2,3417
34421,3840,2,2,8634
55399,6883,1,2,9112
25560,7494,1,3,9546
22926,4666,1,1,3067
31325,621,2,3,7989
24122,4583,2,3,3535
83623,269,1,1,4400
12280,262,2,3,6232
72351,9107,1,3,8540
33900,3913,1,2,9521
22554,9568,2,2,5829
25412,3283,1,3,1077
22183,5837,2,1,2155
98042,6455,1,1,7479
62332,7870,1,1,2175
91533,7147,1,3,7986
65153,6412,2,3,6449
37148,9283,1,3,4454
15108,7058,1,2,3586
21401,2418,2,2,2011
48065,233,2,1,950
82714,1189,1,3,9092
78474,6550,2,3,5807
11248,8372,2,2,9546
72021,4430,1,2,1145
46714,6470,1,1,943
88280,5211,1,1,9561
19356,1615,2,1,1082
19970,8894,2,2,6978
60093,6135,2,1,5255
57501,4835,1,3,7849
51132,8360,2,3,9163
89684,3271,1,1,2345
42770,7335,1,3,291
27812,596,2,1,2635
71794,325,1,3,4021
78896,9864,1,2,8404
28320,4802,1,3,6442
61044,4126,1,3,6640
27474,3897,2,3,3645
69023,7187,1,3,7098
35103,6125,1,2,30
98911,5451,1,3,8243
45036,6507,2,1,2828
85869,3626,2,1,1956
93591,8055,1,2,885
34863,2771,1,2,8733
69272,8568,1,1,2606
28595,9841,2,2,4150
16169,6132,2,1,4400
15970,1264,1,1,126
59238,7131,2,3,6837
82031,9484,2,2,6022
30614,4645,1,1,3834
98324,9590,1,3,5956
69637,8572,2,3,9476
90979,5024,2,2,632
20365,7755,2,3,9567
88873,1915,1,3,5660
44611,184,2,2,9693
19078,6476,1,2,2428
11432,7395,2,1,1429
32526,5316,1,1,9641
94228,8358,1,1,6603
25563,1372,2,1,9812
54869,7383,1,1,8620
77194,6056,2,3,9401
12778,2900,1,1,4780
71588,4065,1,2,3178
58882,4250,2,3,9086
81484,3986,2,2,130
12451,7146,1,2,9266
30717,7472,1,2,373
73450,6936,1,1,1135
54885,2227,2,3,6919
52659,2666,1,1,765
12820,2946,1,1,3388
38507,3382,2,1,8479
95684,5864,1,3,2342
28863,5829,1,3,1722
68498,8340,1,2,5964
38244,145,2,1,9550
84243,2495,2,2,1207
21800,6095,2,1,527
97977,35,2,3,6959
80414,726,2,3,6467
19776,8994,2,3,6774
15038,9120,2,1,3716
64228,1755,1,1,1247
38477,749,2,2,719
78160,6130,1,3,5502
93580,9362,1,2,4689
28122,7742,2,2,5676
64125,2512,1,2,3601
95300,1136,2,3,8451
21965,5709,1,3,527
95409,7887,2,2,8330
48269,2668,1,2,6675
71811,999,1,2,3217
40205,5142,1,2,3784
22746,1987,1,2,9516
27454,6400,1,3,1153
60698,7341,2,3,3481
57690,6953,1,1,529
91183,3331,1,3,9057
35648,6972,2,3,4500
76015,7331,2,1,5169
90825,3445,1,3,887
24358,1362,1,2,4127
85450,1658,1,3,441
70896,4980,1,2,5886
15206,2647,1,2,5888
17167,9190,1,2,4040
29787,6341,2,2,6916
11584,1962,1,1,1034
28228,7316,2,3,6232
20630,7841,2,2,8718
95360,4350,2,2,4255
84941,1674,2,3,1187
52895,8016,2,1,6084
56163,9680,2,2,8496
56845,7635,2,3,9534
90876,5536,2,1,9846
95255,8294,1,2,6276
90829,4394,2,1,2653
47442,2589,1,3,1068
93562,7066,1,1,4455
79942,3523,2,3,6685
98002,6826,2,1,5408
38213,1564,1,1,7130
75636,9992,1,3,9705
49731,7356,2,1,457
53217,8622,2,2,4692
16570,9398,1,3,4025
37008,1586,2,3,6623
43628,7826,2,3,9956
45968,1574,1,1,8336
95232,9022,1,2,8282
69732,9683,2,3,3427
12857,9292,2,2,4851
81954,6633,1,2,8969
21122,1104,1,3,5666
17901,6411,2,1,2108
83070,3345,2,2,7861
81392,3921,2,1,1858
93866,6324,2,2,1833
80100,6642,2,3,8057
16544,8995,1,1,4651
68646,2787,2,3,7059
83696,2502,1,3,207
37102,8289,1,3,3446
52075,2767,1,3,5781
92500,6582,1,2,1485
91688,2357,2,1,9798
79350,6195,2,3,8607
17325,3590,2,2,3350
28340,6625,1,2,3
45356,1915,1,2,491
74173,918,2,3,3873
68629,8943,2,2,3431
42217,8363,1,3,6314
70332,9639,2,1,9241
62194,9960,1,3,4099
85992,9704,1,3,1420
36716,3128,1,3,9714
65722,4253,1,1,1777
16442,9216,2,2,3398
64748,4043,1,1,4195
87984,8482,2,1,8358
30054,7396,1,3,8369
29972,8914,2,1,2047
37154,5250,1,3,4141
26479,6234,2,2,5702
79138,3380,2,1,5311
72240,5773,2,1,1291
28014,5320,1,2,1850
36333,7020,2,3,1095
57638,1964,1,3,1173
29463,8357,2,3,1681
74547,3275,2,2,7922
60370,963,1,1,4353
33770,5779,1,2,7326
73265,8304,2,3,7379
75819,3959,1,1,5710
87650,6420,1,2,5091
43766,6971,2,3,6741
19869,4716,1,1,1832
88097,8921,2,2,3779
75040,389,2,2,3063
33738,4864,2,3,6170
46219,2654,2,3,558
11300,4925,1,1,3649
63646,2700,2,1,4560
76763,628,2,2,7660
29913,6526,2,1,7866
42314,5752,1,1,5896
34335,6463,1,1,7369
62667,9327,1,3,2431
24962,564,1,2,2956
98984,9317,2,3,9265
91571,2646,2,2,6348
65930,4957,1,3,4963
60919,4678,2,2,9799
66765,6510,1,1,9380
67647,6940,1,1,8306
17622,4134,2,3,6380
59133,7642,2,1,2860
38873,2708,1,2,3098
67206,1646,2,3,2543
36338,3266,1,2,9116
58202,8668,2,2,2771
53055,2808,1,2,393
71282,6499,2,1,8239
70638,7979,1,2,41
47544,5552,1,1,3763
53534,9693,1,3,243
23311,2053,1,3,8444
34998,7080,1,1,7007
94646,4105,1,1,8522
61683,5052,2,1,3459
32742,2950,2,3,5037
75146,8186,1,3,5117
55418,402,2,3,6603
43169,4812,2,3,2590
96851,3811,1,2,9239
41154,7207,1,3,5429
33308,8581,2,2,1902
63099,3183,2,1,6789
81361,3099,1,3,4507
26693,2293,1,3,9223
34146,985,1,1,5682
28186,5798,1,3,1238
72042,6694,1,1,3038
50427,5570,1,2,2483
67479,3379,2,1,8735
12432,8780,2,1,1824
73052,4979,2,1,2851
98095,7647,2,2,6098
99546,5617,2,2,291
61863,8880,2,3,9968
25964,5176,1,2,9968
79344,565,2,3,9236
92226,3585,2,3,8199
46477,1528,2,3,997
46426,334,2,1,3901
63268,7411,1,3,7011
11183,3364,1,2,6770
15937,8064,1,1,883
91601,2464,2,1,9585
80059,4188,2,2,1070
23991,9687,1,2,8027
62220,5935,1,1,6671
78304,5783,2,1,6391
14558,9100,1,3,1620
24238,1408,2,2,7083
83891,3287,2,2,9292
28826,387,2,1,3581
12888,101,2,2,781
62796,2853,2,2,2544
30789,1195,2,3,5750
92710,7900,1,2,397
81904,5317,1,2,1256
92218,3844,2,3,4250
82901,9744,2,3,3784
22652,652,2,2,7297
55009,9621,1,1,6562
66727,684,1,1,4974
88819,5020,1,1,8794
60721,268,1,2,2598
52538,9355,2,2,52
53953,8953,1,2,7308
81671,6325,2,3,8637
52823,67,1,3,8641
69027,6404,2,1,461
54278,133,1,3,4900
83228,3377,1,1,9845
94191,788,2,1,7123
59261,7401,1,2,7201
40774,6824,1,3,1239
37444,9012,2,2,3866
66219,117,1,3,1484
69042,1217,2,2,5994
96692,5456,2,2,832
64487,2089,1,1,2755
62850,5990,2,2,5687
36848,8843,2,1,5118
69263,1235,1,1,4661
24072,4223,2,3,3616
86390,8544,2,3,8233
53707,2715,1,1,451
16902,9567,1,2,1605
22790,4356,2,1,3297
20510,4568,1,3,3884
67684,3050,2,1,9216
53584,4826,2,1,2201
97751,4480,2,3,8402
34505,8874,1,3,7420
97964,1330,1,3,1094
43567,5571,2,1,4309
41000,7317,2,3,2032
53617,5539,1,2,812
69290,5780,1,2,1997
37586,2365,1,3,7584
80343,7468,2,1,837
17705,1306,1,3,3246
70910,2769,1,2,7493
90809,8332,2,3,463
80742,812,2,3,4476
99986,9318,2,2,6811
69599,1022,2,1,742
51960,7720,1,2,8601
41193,9740,1,2,3624
68407,2350,1,3,1784
52277,6799,1,2,424
70612,4055,2,3,2660
91973,4750,2,3,8937
56689,9799,1,2,6282
27978,7246,1,2,1476
94219,1179,2,1,7605
81540,5913,2,2,4357
47680,871,1,2,8454
74814,1894,1,1,434
11276,9179,1,2,2125
86683,5775,1,1,8176
75158,4421,1,1,5268
78668,2497,2,1,1100
60010,1722,1,1,2055
22590,5591,2,1,5365
25080,8434,1,1,2385
27892,2984,2,3,6424
54484,8870,2,2,1113
24936,9161,2,2,4111
96519,5315,2,1,5147
91534,5675,1,2,6613
71296,8361,1,1,9275
68889,5834,1,3,2851
42819,4624,2,1,9112
81937,7049,1,2,3831
24777,5941,1,2,5184
54577,2303,2,1,9749
86705,4470,1,1,5089
99478,9899,2,3,4529
47654,3269,1,3,1981
70558,8738,1,1,4962
16097,2323,1,3,3941
12191,5040,1,2,6753
66088,6682,1,1,6655
20334,481,2,3,2700
26934,1783,1,2,2143
61368,1683,2,2,3542
71150,3560,1,3,9856
45030,4961,2,2,5674
53354,4155,1,3,4262
55923,5908,1,3,1238
40370,4973,1,2,3959
60836,1619,1,3,6574
17670,238,1,2,9008
95215,1022,1,1,9114
73165,6891,2,2,1108
60562,9667,2,2,8932
24517,1195,1,1,8684
82825,9171,2,2,7936
73705,5053,2,1,9589
86108,329,2,2,3868
85124,644,1,1,6360
14537,8978,2,3,1604
22667,7102,2,1,9858
82312,2833,2,1,1275
56539,5087,2,1,7129
18322,4888,2,2,6549
75056,3862,1,1,727
88265,7495,2,3,777
51505,7346,1,3,9513
41904,231,1,3,5625
91599,2038,2,2,5200
78170,5835,2,3,442
16966,8308,2,2,4568
88001,523,2,2,8788
60453,5674,1,3,7794
35360,5939,1,2,9238
72694,3094,1,2,1059
59521,4136,1,2,3070
59973,7430,1,1,1224
82089,2223,1,1,2389
34704,1500,2,1,7346
63349,317,2,1,5453
23093,1094,2,3,6598
47558,2618,2,3,9518
31050,5168,2,1,1916
88504,4735,1,1,4477
29797,9479,1,1,353
16787,8922,1,1,3355
58906,3567,1,3,5676
15689,2637,1,1,5264
91457,9427,1,2,3967
87915,9085,2,3,7608
69845,944,2,2,94
63481,584,1,1,5621
15992,2754,2,1,4685
73198,8120,2,2,3247
85278,1142,2,3,9718
27562,856,2,1,6867
34378,452,2,1,4552
20627,2488,2,2,9412
17148,5603,2,2,9182
36409,7577,2,2,6523
13258,5672,2,3,6016
98411,691,1,3,2566
37324,2054,1,1,6082
16362,9031,1,1,5436
57258,8822,1,2,6971
78799,7001,2,2,5407
67091,4036,2,3,1001
16931,2477,2,2,5882
36046,2133,1,2,7036
30367,2842,2,2,6864
52258,9140,1,1,6081
17852,417,2,2,92
68078,2742,2,2,1242
50321,3383,2,1,9098
80804,9900,1,2,2130
67113,421,2,1,5478
37357,3376,2,2,4462
53576,6917,2,2,7366
59995,6622,1,1,1855
77908,3594,2,2,197
79090,1272,1,3,4402
28807,7760,1,2,3863
78934,9994,2,1,8389
90219,7585,1,1,5988
68054,8558,2,3,8614
90008,5074,2,2,3130
44351,1809,1,3,891
56548,4268,2,2,3664
99779,3450,2,3,4739
19899,4118,1,3,7002
97928,2811,2,2,8039
61002,757,2,1,4718
13973,7141,1,3,8330
37724,2604,1,2,9672
37472,2948,1,2,6478
34769,1606,2,3,4403
74092,7067,1,1,2967
84722,322,1,1,8602
54635,2419,2,3,8313
66517,8912,1,2,1310
33406,6898,2,3,1974
67314,5260,2,3,6415
99950,1735,1,1,8776
98509,6507,2,3,3230
47133,6703,1,1,4325
31182,1937,2,3,5913
59096,2208,2,1,2752
80660,3203,2,2,8324
97434,6099,2,1,1997
19164,8735,1,1,5880
68205,8270,2,3,505
23931,9975,1,2,4575
55463,802,1,1,7486
68063,3973,1,2,5831
76485,1550,1,2,9663
88349,7935,1,1,1168
11358,8839,1,1,294
95426,3695,1,2,1239
12552,6995,2,3,1851
50575,5978,2,1,7316
70731,6497,2,1,7185
73453,4073,2,1,8720
52362,7865,2,2,6584
31214,5655,1,1,896
80906,6717,1,3,832
80521,9903,1,1,8117
96773,3842,1,3,2166
11580,7837,1,2,5536
98062,9743,2,3,3560
36506,3515,2,1,4843
80277,9890,2,2,953
37068,1356,1,2,3706
50491,5742,1,3,9082
79130,2397,1,3,8265
42506,5693,2,2,7490
90231,765,2,2,4691
54706,3595,2,3,9612
65095,1189,2,1,338
44334,4503,2,1,3711
84794,466,1,3,5072
77059,456,1,2,3261
60461,1792,2,3,7697
67565,4459,2,1,6167
35596,3091,1,2,9422
75594,1522,1,3,4191
43207,5868,2,2,8158
48808,412,1,1,8774
29742,2904,2,1,3903
32132,1977,1,2,8640
30590,404,1,2,1788
49955,4600,2,2,4151
53317,7509,2,2,1497
51992,7779,2,3,1575
78529,5303,2,1,5638
22310,642,1,1,6996
57306,2151,2,1,7880
44695,979,1,3,356
53792,3982,1,2,5368
64754,255,1,2,4148
51502,5299,2,3,8411
84440,4483,1,2,8039
56164,623,1,1,7616
12252,2110,2,1,5609
24424,9479,1,3,7968
18617,7136,2,3,1731
27991,3412,2,1,5074
91010,9425,1,2,2650
23312,2981,1,1,7940
38906,457,1,2,311
76619,7683,2,2,3093
62969,5884,2,1,6392
66609,3384,2,1,797
50814,1161,2,2,9082
92271,9074,1,1,1258
36379,2554,1,1,7174
38890,5085,2,3,8678
54160,1093,2,2,966
85221,8708,1,3,5143
15273,5951,1,3,40
36173,7617,2,2,8767
49179,5238,2,3,5328
84988,543,2,1,4287
24079,6452,2,2,2390
65338,1090,1,1,8117
52085,8712,1,2,8285
26623,382,1,1,7039
37781,6800,1,2,9627
61453,8187,2,3,3297
59934,3200,2,2,1351
31354,7024,2,1,5073
58232,659,2,1,2520
50187,2504,1,2,5173
98373,8078,1,2,674
45297,7613,2,2,8505
99803,7335,2,1,8361
11641,8050,1,3,777
78396,3348,1,2,6824
38142,20,2,2,3706
82005,9745,2,1,4060
30402,2418,1,2,5754
57800,8080,1,2,2306
27288,643,1,2,2051
89887,4114,2,1,8376
32767,7395,2,2,2381
50020,3920,2,3,5099
98030,7415,2,3,6667
11898,4257,1,3,7598
62466,3777,1,2,6875
26880,4074,2,1,5157
97735,2199,2,3,4688
29987,3873,1,3,3729
19628,8437,1,3,2042
79327,2975,1,2,1510
58357,5424,1,1,7794
94772,2863,1,1,4743
28663,8714,1,3,1490
54943,4783,1,3,9810
79949,251,1,3,4621
77980,1955,2,1,5213
28330,7062,2,3,1276
63592,1375,1,2,7566
50744,4906,2,2,4220
12362,631,1,2,7994
53244,8347,2,3,7760
82826,9892,1,3,1585
69580,6047,1,1,9467
42538,4875,2,3,4760
30366,1876,1,2,320
36650,445,1,1,6243
84765,8074,2,1,6385
63744,8779,1,2,5454
25653,7196,2,3,3709
18042,5011,2,3,8820
31847,1305,1,3,9039
14118,3661,1,1,6951
41960,5913,2,3,5153
69028,3900,2,2,1518
68570,2080,1,2,6273
40862,6560,1,3,3006
81282,9849,2,2,5101
26888,7373,1,2,5982
11289,4072,2,3,4406
69897,1076,1,1,4891
48774,5491,1,2,4030
19079,7906,2,3,7554
60881,1259,1,2,8959
36266,4939,1,1,4499
13510,7607,2,1,9702
97364,8636,1,1,367
62022,1387,2,2,3455
82635,3923,1,2,2898
31521,5112,2,1,2648
44753,8999,2,2,5488
95733,1760,2,3,5901
39347,2321,2,1,5275
96640,7503,1,3,1269
46328,9281,1,3,9451
47153,3531,1,2,2892
27448,771,2,3,2982
89590,8947,2,1,4559
64036,685,1,1,2061
59207,5305,2,2,3308
21202,5253,1,1,5599
92910,7789,1,1,1031
74391,4198,1,1,2152
74138,3238,1,2,681
57744,2294,2,2,777
96393,1140,1,1,5436
15578,1757,2,2,2707
24654,2919,1,2,998
60563,2411,1,3,8480
38703,2558,2,3,7801
51731,3514,2,2,600
83968,8146,2,2,7261
11418,609,2,1,637
62298,4533,1,1,3717
55327,1112,1,2,7871
84761,5967,1,1,1578
57752,1140,1,1,1345
34758,8107,1,1,7891
13348,1766,1,2,7957
34612,3321,2,1,6509
71670,4859,1,1,6827
79200,867,2,2,5599
79577,1623,1,1,4092
68067,3998,2,1,4841
12970,6608,1,2,6034
74753,5253,2,1,9297
22893,2530,2,1,5158
37400,7878,1,2,4416
24108,9905,2,1,9037
80157,9179,1,2,3805
21179,3066,2,3,1008
50870,1347,2,2,2303
43879,1909,2,2,3429
55006,79,2,3,1103
66073,8395,2,2,5625
54344,4188,1,3,156
99777,7791,1,3,9365
87367,3868,1,2,9548
74611,6015,2,1,954
40682,9966,2,2,583
87388,1698,1,3,6840
95762,5999,1,2,3551
67978,6008,2,2,8492
85053,7856,1,3,5041
42531,8267,2,3,4972
55780,6690,2,3,759
29943,1249,2,1,3734
80802,4985,2,2,490
83900,2304,2,1,2456
15114,6148,2,3,3536
36913,2859,2,1,5469
37429,9119,1,3,5332
27464,7448,1,3,2868
63306,6633,1,1,3009
72238,971,2,2,7837
67751,9272,2,1,5530
92389,2251,1,3,4436
23183,5445,2,3,2828
14308,5633,1,1,7284
73270,7816,2,1,8382
99034,3630,1,2,8645
12441,7306,1,2,5247
37576,6680,1,3,2299
15536,5275,2,3,740
40120,5422,1,3,5943
59796,6233,2,3,8294
34491,5155,1,2,3021
26929,9161,1,3,8104
89107,909,1,2,9890
44582,9815,2,1,830
34049,2646,1,3,3337
82745,7168,2,2,6546
71305,182,1,3,9712
98513,7678,1,2,7170
53142,1364,1,3,9678
12519,7019,1,2,3473
72385,391,2,2,6902
14989,2721,2,1,5917
36718,6737,1,2,2515
20800,4495,2,2,3714
87865,6514,2,3,9822
90880,2828,1,1,9640
26184,1933,2,1,2686
26090,7141,1,1,8766
18771,5569,2,2,6456
50208,5295,2,1,3146
44023,9965,2,3,6066
77243,5239,1,3,6580
85246,8843,1,1,7846
12387,8947,1,2,8793
59977,4377,2,1,2962
80597,4842,2,3,1566
93948,3257,1,1,7580
71871,2169,2,2,3411
13504,90,2,1,2439
94926,4142,2,1,9747
71307,3062,1,2,3803
55262,8914,1,2,3757
41695,2992,2,3,9821
44466,5248,1,1,1203
82734,9640,2,1,7901
69007,816,1,2,6644
43480,4452,1,3,892
98069,368,1,2,3504
88757,7909,2,1,4869
99777,5511,2,2,846
53243,4802,1,2,6642
60828,823,2,1,8128
69642,1224,2,1,8764
78936,4009,1,3,9862
44390,4531,2,2,3810
98756,57,2,2,226
94103,3342,2,3,2007
84570,2916,2,3,8643
79818,6109,1,3,5373
58682,9354,2,3,2656
84106,5185,2,1,8366
89533,4764,2,2,4298
50366,6350,1,3,5830
87549,2448,2,2,3158
14173,6536,2,2,9749
56648,2751,2,1,3457
77448,1109,1,1,6474
